# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1410.657488415905391,0.00544,0.00036,0.00673,0.00006,0.00361,0.00195,0.01815
1410.690639565870015,0.00740,0.00081,0.01938,0.00005,0.00120,0.00212,0.03096
1410.723826344621102,0.00400,0.00027,0.01071,0.00007,0.00390,0.00256,0.02152
1410.756914779676890,0.00348,0.00028,0.00621,0.00006,0.00000,0.00279,0.01283
1410.790083109345233,0.00973,0.00031,0.00551,0.00006,0.00146,0.00220,0.01925
1410.856400191651801,0.00702,0.00067,0.01967,0.00003,0.00198,0.00217,0.03154
1410.889565683258070,0.00672,0.00031,0.00936,0.00004,0.00363,0.00228,0.02234
1410.922736731129817,0.00556,0.00029,0.00635,0.00004,0.00343,0.00310,0.01878
1410.955847325764125,0.00731,0.00075,0.00341,0.00005,0.00000,0.00244,0.01396
1410.989109786655263,0.00894,0.00032,0.00154,0.00002,0.01033,0.00206,0.02322
1411.022208687058310,0.00486,0.00034,0.00530,0.00004,0.00000,0.00212,0.01266
1411.055432539627873,0.00953,0.00057,0.00208,0.00002,0.02711,0.00241,0.04172
1411.088602891586333,0.00461,0.00042,0.00148,0.00005,0.00000,0.00265,0.00921
1411.121673807153684,0.00905,0.00034,0.00327,0.00004,0.00637,0.00211,0.02119
1411.154884854613329,0.00782,0.00071,0.00405,0.00004,0.00412,0.00239,0.01914
1411.221153542712045,0.00980,0.00067,0.01415,0.00004,0.00517,0.00226,0.03209
1411.287583914540392,0.01077,0.00045,0.00374,0.00004,0.00000,0.00219,0.01719
1411.353844811975250,0.00948,0.00087,0.00146,0.00005,0.00515,0.00191,0.01893
1411.387065424602952,0.01006,0.00063,0.00161,0.00003,0.00745,0.00190,0.02169
1411.420234641077741,0.00974,0.00065,0.00634,0.00005,0.00766,0.00205,0.02649
1411.486519672916984,0.00703,0.00096,0.00592,0.00004,0.00000,0.00177,0.01572
1411.519643054096832,0.01068,0.00074,0.01173,0.00006,0.00558,0.00187,0.03066
1411.552814673022112,0.00540,0.00029,0.00392,0.00005,0.00230,0.00184,0.01379
